Kalimat, Sentimen
Melihat kerja keras para tenaga medis dalam menangani COVID-19 sungguh menginspirasi kita semua, positif
Kesadaran akan pentingnya menjaga kebersihan dan kesehatan semakin meningkat di masyarakat, positif
Disinformasi dan hoaks seputar COVID-19 menyebabkan kebingungan dan ketidakpercayaan di kalangan masyarakat, negatif
Berkumpulnya orang-orang untuk membantu sesama dalam menghadapi pandemi ini menunjukkan solidaritas yang luar biasa, positif
Dampak ekonomi dari pandemi ini menyebabkan banyak orang kehilangan pekerjaan dan mata pencaharian, negatif
Ketidakpastian akan durasi dan akibat pandemi COVID-19 membuat banyak orang merasa stres dan cemas, negatif
Kemajuan dalam penelitian vaksin COVID-19 memberikan harapan untuk masa depan yang lebih baik, positif
Peningkatan kasus COVID-19 di beberapa wilayah menimbulkan kekhawatiran akan kemungkinan gelombang baru infeksi, negatif
Banyaknya inovasi dalam teknologi dan layanan kesehatan membantu kita menghadapi tantangan pandemi ini dengan lebih baik, positif
Tingginya angka kasus COVID-19 membuat banyak orang cemas akan kesehatan dan masa depan mereka, negatif
